ch0,ch1,read_time
0.000000,0.000000,0.000000
0.000000,0.000000,0.000500
0.000000,0.000000,0.001000
0.000000,0.000000,0.001500
0.000000,0.000000,0.002000
0.000000,0.000000,0.002500
0.000000,0.000000,0.003000
0.000000,0.000000,0.003500
0.000000,0.000000,0.004000
0.000000,0.000000,0.004500
0.000000,0.000000,0.005000
0.000000,0.000000,0.005500
0.000000,0.000000,0.006000
0.000000,0.000000,0.006500
0.000000,0.000000,0.007000
0.000000,0.000000,0.007500
0.000000,-0.000423,0.008000
0.000000,-0.000953,0.008500
0.000000,0.000921,0.009000
0.000000,0.005020,0.009500
0.000000,0.006797,0.010000
0.000000,0.005218,0.010500
0.000000,0.003565,0.011000
0.000000,0.003180,0.011500
0.000000,0.002731,0.012000
0.000000,0.001408,0.012500
0.000000,0.000051,0.013000
0.000000,-0.001020,0.013500
0.000000,-0.002457,0.014000
0.000000,-0.004085,0.014500
0.000000,-0.005469,0.015000
0.000000,-0.006813,0.015500
0.000000,-0.008143,0.016000
0.000000,-0.008622,0.016500
0.000000,-0.007281,0.017000
0.000000,-0.005107,0.017500
0.000000,-0.004453,0.018000
0.000000,-0.005677,0.018500
0.000000,-0.006437,0.019000
0.000000,-0.005068,0.019500
0.000000,-0.003481,0.020000
0.000000,-0.003830,0.020500
0.000000,-0.005049,0.021000
-0.005375,-0.005888,0.021500
-0.020356,-0.006356,0.022000
-0.028122,-0.005793,0.022500
-0.019257,-0.004523,0.023000
-0.015564,-0.004595,0.023500
-0.021661,-0.006139,0.024000
-0.022199,-0.007351,0.024500
-0.020821,-0.007584,0.025000
-0.023064,-0.007363,0.025500
-0.024139,-0.006962,0.026000
-0.024229,-0.005986,0.026500
-0.025011,-0.004159,0.027000
-0.025097,-0.001753,0.027500
-0.025355,0.000926,0.028000
-0.026362,0.003352,0.028500
-0.026240,0.004728,0.029000
-0.025659,0.004843,0.029500
-0.026435,0.003951,0.030000
-0.027354,0.002231,0.030500
-0.026948,0.000487,0.031000
-0.025891,-0.000314,0.031500
-0.025403,-0.000662,0.032000
-0.025443,-0.001620,0.032500
-0.025107,-0.002800,0.033000
-0.024561,-0.002590,0.033500
-0.024008,-0.000750,0.034000
-0.022706,0.000905,0.034500
-0.021488,0.000751,0.035000
-0.021778,-0.001001,0.035500
-0.022608,-0.001795,0.036000
-0.023115,-0.001069,0.036500
-0.024038,-0.002150,0.037000
-0.024963,-0.004917,0.037500
-0.024505,-0.006463,0.038000
-0.022721,-0.007092,0.038500
-0.021387,-0.007287,0.039000
-0.021884,-0.006927,0.039500
-0.023248,-0.007628,0.040000
-0.023277,-0.009183,0.040500
-0.021636,-0.009345,0.041000
-0.020643,-0.008442,0.041500
-0.021069,-0.008381,0.042000
-0.020933,-0.009348,0.042500
-0.020213,-0.010123,0.043000
-0.020258,-0.010319,0.043500
-0.020615,-0.010818,0.044000
-0.020971,-0.011051,0.044500
-0.021980,-0.009565,0.045000
-0.023582,-0.007284,0.045500
-0.024930,-0.006109,0.046000
-0.025621,-0.005797,0.046500
-0.026406,-0.004245,0.047000
-0.027338,-0.001320,0.047500
-0.027098,0.000282,0.048000
-0.026111,0.000132,0.048500
-0.026022,0.000542,0.049000
-0.026485,0.002097,0.049500
-0.026279,0.003465,0.050000
-0.025397,0.003311,0.050500
-0.024848,0.001175,0.051000
-0.024859,-0.001569,0.051500
-0.024444,-0.002927,0.052000
-0.023735,-0.003170,0.052500
-0.023897,-0.003521,0.053000
-0.024899,-0.003658,0.053500
-0.025601,-0.003724,0.054000
-0.025332,-0.004452,0.054500
-0.024758,-0.004774,0.055000
-0.024561,-0.004069,0.055500
-0.024563,-0.003784,0.056000
-0.024886,-0.004619,0.056500
-0.025372,-0.006067,0.057000
-0.025022,-0.007781,0.057500
-0.024212,-0.009071,0.058000
-0.024143,-0.009263,0.058500
-0.024210,-0.008859,0.059000
-0.023506,-0.008825,0.059500
-0.022499,-0.009161,0.060000
-0.021757,-0.008926,0.060500
-0.021558,-0.008305,0.061000
-0.022041,-0.008757,0.061500
-0.022690,-0.010280,0.062000
-0.023051,-0.011846,0.062500
-0.023325,-0.012435,0.063000
-0.023277,-0.010725,0.063500
-0.022545,-0.007526,0.064000
-0.021795,-0.005435,0.064500
-0.021518,-0.004643,0.065000
-0.021294,-0.003229,0.065500
-0.021043,-0.000734,0.066000
-0.021320,0.001643,0.066500
-0.022502,0.002875,0.067000
-0.024097,0.002844,0.067500
-0.024974,0.002190,0.068000
-0.024605,0.001457,0.068500
-0.023529,0.000856,0.069000
-0.022660,0.000536,0.069500
-0.022529,0.000385,0.070000
-0.022699,-0.000051,0.070500
-0.022264,-0.001143,0.071000
-0.021548,-0.002420,0.071500
-0.021208,-0.003449,0.072000
-0.020325,-0.005088,0.072500
-0.019005,-0.007507,0.073000
-0.019163,-0.008816,0.073500
-0.020721,-0.007474,0.074000
-0.021582,-0.004976,0.074500
-0.020826,-0.004275,0.075000
-0.020105,-0.004520,0.075500
-0.021061,-0.002490,0.076000
-0.021902,0.000454,0.076500
-0.021027,0.000443,0.077000
-0.020063,-0.002101,0.077500
-0.019611,-0.003668,0.078000
-0.019136,-0.003077,0.078500
-0.019339,-0.002151,0.079000
-0.019707,-0.002599,0.079500
-0.019368,-0.004246,0.080000
-0.019643,-0.005399,0.080500
-0.020767,-0.004722,0.081000
-0.021167,-0.003113,0.081500
-0.021075,-0.002735,0.082000
-0.021390,-0.003602,0.082500
-0.021834,-0.003858,0.083000
-0.022583,-0.003875,0.083500
-0.023945,-0.004644,0.084000
-0.025531,-0.004469,0.084500
-0.027656,-0.002027,0.085000
-0.030357,0.000774,0.085500
-0.031781,0.001152,0.086000
-0.031158,0.000511,0.086500
-0.029968,0.002570,0.087000
-0.028938,0.005782,0.087500
-0.028248,0.006667,0.088000
-0.028529,0.006116,0.088500
-0.029103,0.005640,0.089000
-0.028678,0.005180,0.089500
-0.027542,0.004990,0.090000
-0.026625,0.004215,0.090500
-0.026090,0.001619,0.091000
-0.025789,-0.000840,0.091500
-0.025677,-0.001390,0.092000
-0.025378,-0.001868,0.092500
-0.024105,-0.003278,0.093000
-0.022440,-0.004472,0.093500
-0.022664,-0.005205,0.094000
-0.024784,-0.006277,0.094500
-0.026147,-0.008168,0.095000
-0.025831,-0.010308,0.095500
-0.025059,-0.011623,0.096000
-0.024872,-0.011346,0.096500
-0.025349,-0.009227,0.097000
-0.026073,-0.006592,0.097500
-0.026567,-0.005435,0.098000
-0.025909,-0.004810,0.098500
-0.023833,-0.003013,0.099000
-0.021897,-0.001978,0.099500
-0.021181,-0.003214,0.100000
-0.021150,-0.005090,0.100500
