ch0,ch1,read_time
0.000000,-0.007533,0.000000
0.000000,-0.008163,0.000500
0.000000,-0.008019,0.001000
0.000000,-0.007881,0.001500
0.000000,-0.008011,0.002000
0.000000,-0.007649,0.002500
0.000000,-0.006741,0.003000
0.000000,-0.006488,0.003500
0.000000,-0.006569,0.004000
0.000000,-0.005479,0.004500
0.000000,-0.003552,0.005000
0.000000,-0.002005,0.005500
0.000000,-0.001339,0.006000
0.000000,-0.001759,0.006500
0.000000,-0.002358,0.007000
0.000000,-0.001631,0.007500
0.000000,-0.000347,0.008000
0.000000,-0.000083,0.008500
0.000000,-0.000321,0.009000
0.000000,-0.000579,0.009500
0.000000,-0.001270,0.010000
0.000000,-0.001878,0.010500
0.000000,-0.002058,0.011000
0.000000,-0.002383,0.011500
0.000000,-0.002709,0.012000
0.000000,-0.002702,0.012500
0.000000,-0.003081,0.013000
0.000000,-0.004300,0.013500
0.000000,-0.005686,0.014000
0.000000,-0.006423,0.014500
0.000000,-0.006374,0.015000
0.000000,-0.005822,0.015500
0.000000,-0.004788,0.016000
0.000000,-0.003831,0.016500
0.000000,-0.004263,0.017000
0.000000,-0.005909,0.017500
0.000000,-0.007108,0.018000
0.000000,-0.007190,0.018500
0.000000,-0.006849,0.019000
0.000000,-0.006676,0.019500
0.000000,-0.006268,0.020000
0.000000,-0.005336,0.020500
0.000000,-0.004563,0.021000
-0.005180,-0.003654,0.021500
-0.019924,-0.001495,0.022000
-0.028378,0.000398,0.022500
-0.020322,0.000203,0.023000
-0.015422,-0.000303,0.023500
-0.019625,0.000159,0.024000
-0.019988,0.000184,0.024500
-0.019004,-0.000765,0.025000
-0.020237,-0.001755,0.025500
-0.019272,-0.002045,0.026000
-0.018215,-0.001700,0.026500
-0.019581,-0.001587,0.027000
-0.020708,-0.001870,0.027500
-0.021135,-0.000989,0.028000
-0.022260,0.000946,0.028500
-0.023441,0.001226,0.029000
-0.023455,-0.000671,0.029500
-0.022535,-0.002624,0.030000
-0.022132,-0.003125,0.030500
-0.022831,-0.001862,0.031000
-0.023642,0.000255,0.031500
-0.023681,0.001384,0.032000
-0.023479,0.000765,0.032500
-0.023896,-0.000552,0.033000
-0.024187,-0.001330,0.033500
-0.023594,-0.001716,0.034000
-0.023032,-0.002676,0.034500
-0.022612,-0.003444,0.035000
-0.021450,-0.002589,0.035500
-0.020595,-0.001580,0.036000
-0.021143,-0.002216,0.036500
-0.022083,-0.003352,0.037000
-0.023246,-0.003621,0.037500
