ch0,ch1,read_time
0.000000,-0.008753,0.000000
0.000000,-0.008209,0.000500
0.000000,-0.006184,0.001000
0.000000,-0.004892,0.001500
0.000000,-0.003865,0.002000
0.000000,-0.003145,0.002500
0.000000,-0.003790,0.003000
0.000000,-0.005511,0.003500
0.000000,-0.006442,0.004000
0.000000,-0.005726,0.004500
0.000000,-0.005295,0.005000
0.000000,-0.005736,0.005500
0.000000,-0.004745,0.006000
0.000000,-0.002013,0.006500
0.000000,0.000662,0.007000
0.000000,0.002489,0.007500
0.000000,0.003281,0.008000
0.000000,0.002960,0.008500
0.000000,0.002095,0.009000
0.000000,0.001607,0.009500
0.000000,0.001749,0.010000
0.000000,0.001603,0.010500
0.000000,0.000323,0.011000
0.000000,-0.001525,0.011500
0.000000,-0.002374,0.012000
0.000000,-0.001454,0.012500
0.000000,-0.000044,0.013000
0.000000,-0.000247,0.013500
0.000000,-0.002383,0.014000
0.000000,-0.004241,0.014500
0.000000,-0.004078,0.015000
0.000000,-0.002720,0.015500
0.000000,-0.001735,0.016000
0.000000,-0.002054,0.016500
0.000000,-0.003751,0.017000
0.000000,-0.005585,0.017500
0.000000,-0.006210,0.018000
0.000000,-0.005720,0.018500
0.000000,-0.004609,0.019000
0.000000,-0.003172,0.019500
0.000000,-0.002487,0.020000
0.000000,-0.002905,0.020500
0.000000,-0.003106,0.021000
-0.005017,-0.002851,0.021500
-0.019274,-0.003186,0.022000
-0.027668,-0.003704,0.022500
-0.021356,-0.002627,0.023000
-0.019959,0.000050,0.023500
-0.027485,0.001311,0.024000
-0.028920,-0.000172,0.024500
-0.026465,-0.001999,0.025000
-0.025952,-0.003080,0.025500
-0.024849,-0.003702,0.026000
-0.023925,-0.002591,0.026500
-0.024503,0.000279,0.027000
-0.024703,0.002478,0.027500
-0.024031,0.002286,0.028000
-0.023372,0.000432,0.028500
-0.023053,-0.001252,0.029000
-0.023562,-0.002235,0.029500
-0.024556,-0.003074,0.030000
-0.024629,-0.003803,0.030500
-0.024405,-0.004049,0.031000
-0.024775,-0.003647,0.031500
-0.023436,-0.003053,0.032000
-0.020259,-0.003548,0.032500
-0.018936,-0.005438,0.033000
-0.019895,-0.006410,0.033500
-0.020780,-0.005206,0.034000
-0.021070,-0.003976,0.034500
-0.021455,-0.004191,0.035000
-0.021934,-0.005150,0.035500
-0.021192,-0.005695,0.036000
-0.019550,-0.005575,0.036500
-0.019436,-0.006246,0.037000
-0.020243,-0.008362,0.037500
-0.019992,-0.010126,0.038000
-0.019726,-0.010359,0.038500
-0.020601,-0.010832,0.039000
-0.021593,-0.012533,0.039500
-0.021508,-0.013052,0.040000
-0.021012,-0.011886,0.040500
