ch0,ch1,read_time
0.000000,0.000000,0.000000
0.000000,0.000000,0.000500
0.000000,0.000000,0.001000
0.000000,0.000000,0.001500
0.000000,0.000000,0.002000
0.000000,0.000000,0.002500
0.000000,0.000000,0.003000
0.000000,0.000000,0.003500
0.000000,0.000000,0.004000
0.000000,0.000000,0.004500
0.000000,0.000000,0.005000
0.000000,0.000000,0.005500
0.000000,0.000000,0.006000
0.000000,0.000000,0.006500
0.000000,0.000000,0.007000
0.000000,0.000000,0.007500
0.000000,0.001466,0.008000
0.000000,0.005074,0.008500
0.000000,0.004986,0.009000
0.000000,-0.002005,0.009500
0.000000,-0.007459,0.010000
0.000000,-0.005147,0.010500
0.000000,0.001444,0.011000
0.000000,0.007486,0.011500
0.000000,0.009621,0.012000
0.000000,0.007570,0.012500
0.000000,0.005289,0.013000
0.000000,0.003767,0.013500
0.000000,0.000099,0.014000
0.000000,-0.004790,0.014500
0.000000,-0.007399,0.015000
0.000000,-0.007405,0.015500
0.000000,-0.007588,0.016000
0.000000,-0.010401,0.016500
0.000000,-0.014373,0.017000
0.000000,-0.014137,0.017500
0.000000,-0.007528,0.018000
0.000000,0.000058,0.018500
0.000000,0.004589,0.019000
0.000000,0.008587,0.019500
0.000000,0.013609,0.020000
0.000000,0.016503,0.020500
0.000000,0.014347,0.021000
-0.011011,0.009618,0.021500
-0.041711,0.005043,0.022000
-0.057005,-0.000416,0.022500
-0.035316,-0.004125,0.023000
-0.020133,-0.003089,0.023500
-0.024555,-0.001593,0.024000
-0.021798,-0.003295,0.024500
-0.019051,-0.006664,0.025000
-0.023093,-0.010226,0.025500
-0.021030,-0.012881,0.026000
-0.015642,-0.013933,0.026500
-0.014996,-0.017037,0.027000
-0.016485,-0.025684,0.027500
-0.017235,-0.035405,0.028000
-0.017919,-0.038747,0.028500
-0.018943,-0.033159,0.029000
-0.019225,-0.021095,0.029500
-0.017479,-0.004609,0.030000
-0.014191,0.017753,0.030500
-0.011556,0.042535,0.031000
-0.011299,0.057232,0.031500
-0.012665,0.052390,0.032000
-0.013467,0.034321,0.032500
-0.013383,0.017350,0.033000
-0.014851,0.005348,0.033500
-0.018663,-0.004648,0.034000
-0.021927,-0.011748,0.034500
-0.022992,-0.015495,0.035000
-0.022966,-0.017351,0.035500
-0.022688,-0.016415,0.036000
-0.022355,-0.013278,0.036500
-0.021788,-0.011675,0.037000
-0.020196,-0.010331,0.037500
-0.017999,-0.006777,0.038000
-0.016946,-0.004796,0.038500
-0.017152,-0.006554,0.039000
-0.017573,-0.008947,0.039500
-0.018006,-0.009175,0.040000
-0.017400,-0.006846,0.040500
-0.015191,-0.003624,0.041000
-0.014228,-0.001489,0.041500
-0.015878,0.001127,0.042000
-0.017511,0.007027,0.042500
-0.018099,0.012804,0.043000
-0.018532,0.011807,0.043500
-0.018493,0.003139,0.044000
-0.017851,-0.006740,0.044500
-0.017620,-0.011759,0.045000
-0.018597,-0.013570,0.045500
-0.020024,-0.014248,0.046000
-0.020598,-0.011370,0.046500
-0.020838,-0.006103,0.047000
-0.021373,-0.001583,0.047500
-0.021199,0.002665,0.048000
-0.020838,0.006452,0.048500
-0.022496,0.007807,0.049000
-0.025766,0.005718,0.049500
-0.027431,0.002355,0.050000
-0.026359,0.002007,0.050500
-0.025268,0.003732,0.051000
-0.025786,0.003917,0.051500
-0.026462,0.003746,0.052000
-0.026782,0.004827,0.052500
-0.026558,0.006462,0.053000
-0.024094,0.008139,0.053500
-0.020605,0.008118,0.054000
-0.019766,0.004792,0.054500
-0.021848,0.000658,0.055000
-0.025164,-0.000551,0.055500
-0.028917,0.001286,0.056000
-0.031548,0.003028,0.056500
-0.033132,0.002083,0.057000
-0.036805,-0.001193,0.057500
-0.042241,-0.005234,0.058000
-0.044899,-0.008140,0.058500
-0.042581,-0.007938,0.059000
-0.036411,-0.006692,0.059500
-0.029018,-0.009049,0.060000
-0.023807,-0.014672,0.060500
-0.021384,-0.019989,0.061000
-0.019051,-0.023700,0.061500
-0.016136,-0.026623,0.062000
-0.017408,-0.030641,0.062500
-0.029009,-0.034723,0.063000
-0.042885,-0.034847,0.063500
-0.041371,-0.031337,0.064000
-0.026410,-0.028051,0.064500
-0.013460,-0.027455,0.065000
-0.006660,-0.030589,0.065500
-0.002316,-0.035184,0.066000
-0.000171,-0.032784,0.066500
-0.003176,-0.014674,0.067000
-0.008743,0.013325,0.067500
-0.010364,0.033353,0.068000
-0.009344,0.036925,0.068500
-0.011031,0.031389,0.069000
-0.016373,0.026397,0.069500
-0.023757,0.021734,0.070000
-0.029942,0.012725,0.070500
-0.031359,0.000107,0.071000
-0.029201,-0.011047,0.071500
-0.027647,-0.016595,0.072000
-0.027613,-0.017110,0.072500
-0.028092,-0.014203,0.073000
-0.028503,-0.004430,0.073500
-0.027250,0.015942,0.074000
-0.024624,0.037255,0.074500
-0.023726,0.043074,0.075000
-0.025040,0.035876,0.075500
-0.026528,0.028506,0.076000
-0.026975,0.022851,0.076500
-0.026310,0.016343,0.077000
-0.025824,0.007862,0.077500
-0.026024,0.000455,0.078000
-0.025774,-0.002404,0.078500
-0.024797,-0.005089,0.079000
-0.023490,-0.009148,0.079500
-0.022306,-0.010729,0.080000
-0.022138,-0.011159,0.080500
-0.022913,-0.013400,0.081000
-0.023931,-0.015402,0.081500
-0.025660,-0.012829,0.082000
-0.027462,-0.006480,0.082500
-0.027323,-0.002690,0.083000
-0.026151,-0.004299,0.083500
-0.026355,-0.007987,0.084000
-0.026873,-0.009870,0.084500
-0.023685,-0.009867,0.085000
-0.015279,-0.009846,0.085500
-0.005977,-0.009284,0.086000
-0.001545,-0.007403,0.086500
-0.004439,-0.006274,0.087000
-0.013840,-0.008351,0.087500
-0.026381,-0.012497,0.088000
-0.037585,-0.014880,0.088500
-0.045459,-0.014105,0.089000
-0.051860,-0.011310,0.089500
-0.055590,-0.008458,0.090000
-0.052527,-0.008040,0.090500
-0.045238,-0.009959,0.091000
-0.038151,-0.012473,0.091500
-0.031723,-0.015512,0.092000
-0.027134,-0.018927,0.092500
-0.024550,-0.021103,0.093000
-0.021715,-0.022023,0.093500
-0.017941,-0.024964,0.094000
-0.013688,-0.032535,0.094500
-0.009990,-0.042796,0.095000
-0.009793,-0.050509,0.095500
-0.014398,-0.051850,0.096000
-0.021252,-0.047429,0.096500
-0.027386,-0.040657,0.097000
-0.030676,-0.031513,0.097500
-0.029796,-0.015142,0.098000
-0.025958,0.006333,0.098500
-0.022266,0.022398,0.099000
-0.020643,0.029250,0.099500
-0.020104,0.033576,0.100000
-0.018772,0.041061,0.100500
-0.016903,0.047736,0.101000
-0.014525,0.047419,0.101500
