pos_R [rad],pos_L [rad],tau_R [.],tau_L [.],cur_R [mA.], cur_L [mA.],time [s]
-0.004603,0.003069,0.000132,-0.000088,0.000000,0.000000,0.000003
0.029153,-0.012275,-0.000837,0.000351,0.000000,0.000000,0.040598
0.030687,-0.012275,-0.000882,0.000351,0.000000,0.000000,0.088602
0.029153,-0.012275,-0.000837,0.000351,0.000000,0.000000,0.136635
0.030687,-0.012275,-0.000882,0.000351,0.000000,0.000000,0.184652
0.032221,-0.012275,-0.000926,0.000351,0.000000,0.000000,0.232576
0.030687,-0.012275,-0.000882,0.000351,0.000000,0.000000,0.280678
0.032221,-0.013809,-0.000926,0.000395,0.000000,0.000000,0.328620
0.032221,-0.013809,-0.000926,0.000395,0.000000,0.000000,0.376523
0.033756,-0.013809,-0.000971,0.000395,0.000000,0.000000,0.424639
0.033756,-0.013809,-0.000971,0.000395,0.000000,0.000000,0.472599
0.033756,-0.013809,-0.000971,0.000395,0.000000,0.000000,0.520554
0.033756,-0.013809,-0.000971,0.000395,0.000000,0.000000,0.568763
0.033756,-0.015344,-0.000971,0.000439,0.000000,0.000000,0.616615
0.035290,-0.015344,-0.001016,0.000439,0.000000,0.000000,0.664678
0.035290,-0.015344,-0.001016,0.000439,0.000000,0.000000,0.712559
0.035290,-0.015344,-0.001016,0.000439,0.000000,0.000000,0.760640
0.035290,-0.015344,-0.001016,0.000439,0.000000,0.000000,0.808688
0.036825,-0.015344,-0.001061,0.000439,0.000000,0.000000,0.856670
0.036825,-0.015344,-0.001061,0.000439,0.000000,0.000000,0.904617
0.036825,-0.015344,-0.001061,0.000439,0.000000,0.000000,0.952791
0.036825,-0.016878,-0.001061,0.000483,0.000000,0.000000,1.000542
0.036825,-0.016878,-0.001061,0.000483,0.000000,0.000000,1.048651
0.038359,-0.016878,-0.001106,0.000483,0.000000,0.000000,1.096613
0.038359,-0.016878,-0.001106,0.000483,0.000000,0.000000,1.144595
0.038359,-0.016878,-0.001106,0.000483,0.000000,0.000000,1.192561
0.038359,-0.016878,-0.001106,0.000483,0.000000,0.000000,1.240695
0.039893,-0.016878,-0.001151,0.000483,0.000000,0.000000,1.288703
0.038359,-0.016878,-0.001106,0.000483,0.000000,0.000000,1.336607
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.384824
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.432822
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.480672
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.528714
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.576661
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.624681
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.672683
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.720548
0.039893,-0.018412,-0.001151,0.000527,0.000000,0.000000,1.768639
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.816732
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.864593
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.912615
0.041428,-0.018412,-0.001196,0.000527,0.000000,0.000000,1.960470
