time,marker_id,description
0.0001322,10,Rest period started
2.0001322,20,Action period started
7.0001322,30,Rest period started
9.0003378,10,Rest period started
11.0003378,20,Action period started
16.0003378,30,Rest period started
18.0005799,10,Rest period started
20.0005799,20,Action period started
25.0005799,30,Rest period started
27.0007918,10,Rest period started
29.0007918,20,Action period started
34.0007918,30,Rest period started
36.001047,10,Rest period started
38.001047,20,Action period started
43.001047,30,Rest period started
45.001315,10,Rest period started
47.001315,20,Action period started
52.001315,30,Rest period started
54.0015471,10,Rest period started
56.0015471,20,Action period started
61.0015471,30,Rest period started
63.0017535,10,Rest period started
65.0017535,20,Action period started
70.0017535,30,Rest period started
72.0020012,10,Rest period started
74.0020012,20,Action period started
79.0020012,30,Rest period started
81.0022303,10,Rest period started
83.0022303,20,Action period started
88.0022303,30,Rest period started
90.0022303,0,Experiment ended
