time,marker_id,description
0.0003124,10,Rest period started
2.0003124,20,Action period started
7.0003124,30,Release period started
9.0005115,10,Rest period started
11.0005115,20,Action period started
16.0005115,30,Release period started
18.000708,10,Rest period started
20.000708,20,Action period started
25.000708,30,Release period started
27.0010233,10,Rest period started
29.0010233,20,Action period started
34.0010233,30,Release period started
36.0012614,10,Rest period started
38.0012614,20,Action period started
43.0012614,30,Release period started
45.0014825,10,Rest period started
47.0014825,20,Action period started
52.0014825,30,Release period started
54.0017299,10,Rest period started
56.0017299,20,Action period started
61.0017299,30,Release period started
63.0019147,10,Rest period started
65.0019147,20,Action period started
70.0019147,30,Release period started
72.0021278,10,Rest period started
74.0021278,20,Action period started
79.0021278,30,Release period started
81.002346,10,Rest period started
83.002346,20,Action period started
88.002346,30,Release period started
90.0025476,10,Rest period started
92.0025476,20,Action period started
97.0025476,30,Release period started
99.0027364,10,Rest period started
101.0027364,20,Action period started
106.0027364,30,Release period started
108.0029346,10,Rest period started
110.0029346,20,Action period started
115.0029346,30,Release period started
117.0031265,10,Rest period started
119.0031265,20,Action period started
124.0031265,30,Release period started
126.0033196,10,Rest period started
128.0033196,20,Action period started
133.0033196,30,Release period started
135.003516,10,Rest period started
137.003516,20,Action period started
142.003516,30,Release period started
144.0037245,10,Rest period started
146.0037245,20,Action period started
151.0037245,30,Release period started
153.0039304,10,Rest period started
155.0039304,20,Action period started
160.0039304,30,Release period started
162.004149,10,Rest period started
164.004149,20,Action period started
169.004149,30,Release period started
171.0044563,10,Rest period started
173.0044563,20,Action period started
178.0044563,30,Release period started
180.004662,10,Rest period started
182.004662,20,Action period started
187.004662,30,Release period started
189.0048539,10,Rest period started
191.0048539,20,Action period started
196.0048539,30,Release period started
198.0051313,10,Rest period started
200.0051313,20,Action period started
205.0051313,30,Release period started
207.0053192,10,Rest period started
209.0053192,20,Action period started
214.0053192,30,Release period started
216.0054965,10,Rest period started
218.0054965,20,Action period started
223.0054965,30,Release period started
225.0056883,10,Rest period started
227.0056883,20,Action period started
232.0056883,30,Release period started
234.0059146,10,Rest period started
236.0059146,20,Action period started
241.0059146,30,Release period started
243.0062982,10,Rest period started
245.0062982,20,Action period started
250.0062982,30,Release period started
252.0067014,10,Rest period started
254.0067014,20,Action period started
259.0067014,30,Release period started
261.0068586,10,Rest period started
263.0068586,20,Action period started
268.0068586,30,Release period started
268.0068586,0,Experiment ended
