time,marker_id,description
0.0002821,10,Rest period started
2.0002821,20,Action period started
7.0002821,30,Rest period started
9.0004956,10,Rest period started
11.0004956,20,Action period started
16.0004956,30,Rest period started
18.0007481,10,Rest period started
20.0007481,20,Action period started
25.0007481,30,Rest period started
27.0009873,10,Rest period started
29.0009873,20,Action period started
34.0009873,30,Rest period started
36.001215,10,Rest period started
38.001215,20,Action period started
43.001215,30,Rest period started
45.0014748,10,Rest period started
47.0014748,20,Action period started
52.0014748,30,Rest period started
54.0016725,10,Rest period started
56.0016725,20,Action period started
61.0016725,30,Rest period started
63.0018519,10,Rest period started
65.0018519,20,Action period started
70.0018519,30,Rest period started
72.0020761,10,Rest period started
74.0020761,20,Action period started
79.0020761,30,Rest period started
81.0023011,10,Rest period started
83.0023011,20,Action period started
88.0023011,30,Rest period started
90.0023011,0,Experiment ended
