time,marker_id,description
0.0015237,10,Rest period started
2.0015237,20,Action period started
4.0017137,10,Rest period started
6.0017137,20,Action period started
8.0018905,10,Rest period started
10.0018905,20,Action period started
12.002032,10,Rest period started
14.002032,20,Action period started
16.0021898,10,Rest period started
18.0021898,20,Action period started
20.0023393,10,Rest period started
22.0023393,20,Action period started
24.0024907,10,Rest period started
26.0024907,20,Action period started
28.0026558,10,Rest period started
30.0026558,20,Action period started
32.0050197,10,Rest period started
34.0050197,20,Action period started
36.0052594,10,Rest period started
38.0052594,20,Action period started
40.0054457,10,Rest period started
42.0054457,20,Action period started
44.0056565,10,Rest period started
46.0056565,20,Action period started
48.0058026,10,Rest period started
50.0058026,20,Action period started
52.006015,10,Rest period started
54.006015,20,Action period started
56.0062145,10,Rest period started
58.0062145,20,Action period started
60.0063912,10,Rest period started
62.0063912,20,Action period started
64.0065571,10,Rest period started
66.0065571,20,Action period started
68.0067175,10,Rest period started
70.0067175,20,Action period started
72.0068637,10,Rest period started
74.0068637,20,Action period started
76.0070303,10,Rest period started
78.0070303,20,Action period started
80.0071626,10,Rest period started
82.0071626,20,Action period started
84.0073223,10,Rest period started
86.0073223,20,Action period started
88.0074892,10,Rest period started
90.0074892,20,Action period started
92.0077159,10,Rest period started
94.0077159,20,Action period started
96.0079044,10,Rest period started
98.0079044,20,Action period started
100.0080645,10,Rest period started
102.0080645,20,Action period started
104.0082305,10,Rest period started
106.0082305,20,Action period started
108.0083702,10,Rest period started
110.0083702,20,Action period started
112.0085134,10,Rest period started
114.0085134,20,Action period started
116.0086547,10,Rest period started
118.0086547,20,Action period started
120.0086547,0,Experiment ended
