time,marker_id,description
0.0003224,10,Rest period started
2.0003224,20,Action period started
7.0003224,30,Rest period started
9.0005708,10,Rest period started
11.0005708,20,Action period started
16.0005708,30,Rest period started
18.0008289,10,Rest period started
20.0008289,20,Action period started
25.0008289,30,Rest period started
27.0010707,10,Rest period started
29.0010707,20,Action period started
34.0010707,30,Rest period started
36.0013226,10,Rest period started
38.0013226,20,Action period started
43.0013226,30,Rest period started
45.0016022,10,Rest period started
47.0016022,20,Action period started
52.0016022,30,Rest period started
54.0018841,10,Rest period started
56.0018841,20,Action period started
61.0018841,30,Rest period started
63.0021298,10,Rest period started
65.0021298,20,Action period started
70.0021298,30,Rest period started
72.0023964,10,Rest period started
74.0023964,20,Action period started
79.0023964,30,Rest period started
81.0026694,10,Rest period started
83.0026694,20,Action period started
88.0026694,30,Rest period started
90.0029269,10,Rest period started
92.0029269,20,Action period started
97.0029269,30,Rest period started
99.0031584,10,Rest period started
101.0031584,20,Action period started
106.0031584,30,Rest period started
108.0034071,10,Rest period started
110.0034071,20,Action period started
115.0034071,30,Rest period started
117.003634,10,Rest period started
119.003634,20,Action period started
124.003634,30,Rest period started
126.0038934,10,Rest period started
128.0038934,20,Action period started
133.0038934,30,Rest period started
135.0041774,10,Rest period started
137.0041774,20,Action period started
142.0041774,30,Rest period started
144.0044241,10,Rest period started
146.0044241,20,Action period started
151.0044241,30,Rest period started
153.0046763,10,Rest period started
155.0046763,20,Action period started
160.0046763,30,Rest period started
162.0049585,10,Rest period started
164.0049585,20,Action period started
169.0049585,30,Rest period started
171.0051867,10,Rest period started
173.0051867,20,Action period started
178.0051867,30,Rest period started
180.0054383,10,Rest period started
182.0054383,20,Action period started
187.0054383,30,Rest period started
189.0071481,10,Rest period started
191.0071481,20,Action period started
196.0071481,30,Rest period started
198.0074083,10,Rest period started
200.0074083,20,Action period started
205.0074083,30,Rest period started
207.0086557,10,Rest period started
209.0086557,20,Action period started
214.0086557,30,Rest period started
216.0089742,10,Rest period started
218.0089742,20,Action period started
223.0089742,30,Rest period started
225.0092717,10,Rest period started
227.0092717,20,Action period started
232.0092717,30,Rest period started
234.0095575,10,Rest period started
236.0095575,20,Action period started
241.0095575,30,Rest period started
243.0098078,10,Rest period started
245.0098078,20,Action period started
250.0098078,30,Rest period started
252.0100542,10,Rest period started
254.0100542,20,Action period started
259.0100542,30,Rest period started
261.0103116,10,Rest period started
263.0103116,20,Action period started
268.0103116,30,Rest period started
270.0106021,10,Rest period started
272.0106021,20,Action period started
277.0106021,30,Rest period started
279.0108424,10,Rest period started
281.0108424,20,Action period started
286.0108424,30,Rest period started
288.0111434,10,Rest period started
290.0111434,20,Action period started
295.0111434,30,Rest period started
297.012853,10,Rest period started
299.012853,20,Action period started
304.012853,30,Rest period started
306.0131249,10,Rest period started
308.0131249,20,Action period started
313.0131249,30,Rest period started
315.0131249,0,Experiment ended
