time,marker_id,description
0.000157,10,Rest period started
2.000157,20,Action period started
7.000157,30,Rest period started
9.0003274,10,Rest period started
11.0003274,20,Action period started
16.0003274,30,Rest period started
18.0004486,10,Rest period started
20.0004486,20,Action period started
25.0004486,30,Rest period started
27.000566,10,Rest period started
29.000566,20,Action period started
34.000566,30,Rest period started
36.0007242,10,Rest period started
38.0007242,20,Action period started
43.0007242,30,Rest period started
45.0008881,10,Rest period started
47.0008881,20,Action period started
52.0008881,30,Rest period started
54.0014921,10,Rest period started
56.0014921,20,Action period started
61.0014921,30,Rest period started
63.0017112,10,Rest period started
65.0017112,20,Action period started
70.0017112,30,Rest period started
72.0018996,10,Rest period started
74.0018996,20,Action period started
79.0018996,30,Rest period started
81.0020816,10,Rest period started
83.0020816,20,Action period started
88.0020816,30,Rest period started
90.0022537,10,Rest period started
92.0022537,20,Action period started
97.0022537,30,Rest period started
99.0023973,10,Rest period started
101.0023973,20,Action period started
106.0023973,30,Rest period started
108.0025675,10,Rest period started
110.0025675,20,Action period started
115.0025675,30,Rest period started
117.0032422,10,Rest period started
119.0032422,20,Action period started
124.0032422,30,Rest period started
126.0034086,10,Rest period started
128.0034086,20,Action period started
133.0034086,30,Rest period started
135.0036324,10,Rest period started
137.0036324,20,Action period started
142.0036324,30,Rest period started
144.0038098,10,Rest period started
146.0038098,20,Action period started
151.0038098,30,Rest period started
153.0041397,10,Rest period started
155.0041397,20,Action period started
160.0041397,30,Rest period started
162.0043221,10,Rest period started
164.0043221,20,Action period started
169.0043221,30,Rest period started
171.0045242,10,Rest period started
173.0045242,20,Action period started
178.0045242,30,Rest period started
180.0046961,10,Rest period started
182.0046961,20,Action period started
187.0046961,30,Rest period started
189.0048891,10,Rest period started
191.0048891,20,Action period started
196.0048891,30,Rest period started
198.0051307,10,Rest period started
200.0051307,20,Action period started
205.0051307,30,Rest period started
207.0053093,10,Rest period started
209.0053093,20,Action period started
214.0053093,30,Rest period started
216.0054772,10,Rest period started
218.0054772,20,Action period started
223.0054772,30,Rest period started
225.0056517,10,Rest period started
227.0056517,20,Action period started
232.0056517,30,Rest period started
234.0058755,10,Rest period started
236.0058755,20,Action period started
241.0058755,30,Rest period started
243.0060653,10,Rest period started
245.0060653,20,Action period started
250.0060653,30,Rest period started
252.0062352,10,Rest period started
254.0062352,20,Action period started
259.0062352,30,Rest period started
261.0064789,10,Rest period started
263.0064789,20,Action period started
268.0064789,30,Rest period started
270.0066723,10,Rest period started
272.0066723,20,Action period started
277.0066723,30,Rest period started
279.0068384,10,Rest period started
281.0068384,20,Action period started
286.0068384,30,Rest period started
288.0074979,10,Rest period started
290.0074979,20,Action period started
295.0074979,30,Rest period started
297.0076696,10,Rest period started
299.0076696,20,Action period started
304.0076696,30,Rest period started
306.0079374,10,Rest period started
308.0079374,20,Action period started
313.0079374,30,Rest period started
315.0079374,0,Experiment ended
