time,marker_id,description
0.0003252,10,Rest period started
2.0003252,20,Action period started
7.0003252,30,Rest period started
9.0006238,10,Rest period started
11.0006238,20,Action period started
16.0006238,30,Rest period started
18.0012223,10,Rest period started
20.0012223,20,Action period started
25.0012223,30,Rest period started
27.0013652,10,Rest period started
29.0013652,20,Action period started
34.0013652,30,Rest period started
36.0015198,10,Rest period started
38.0015198,20,Action period started
43.0015198,30,Rest period started
45.005693,10,Rest period started
47.005693,20,Action period started
52.005693,30,Rest period started
54.0058579,10,Rest period started
56.0058579,20,Action period started
61.0058579,30,Rest period started
63.0060644,10,Rest period started
65.0060644,20,Action period started
70.0060644,30,Rest period started
72.0062341,10,Rest period started
74.0062341,20,Action period started
79.0062341,30,Rest period started
81.0064015,10,Rest period started
83.0064015,20,Action period started
88.0064015,30,Rest period started
90.0066432,10,Rest period started
92.0066432,20,Action period started
97.0066432,30,Rest period started
99.0068089,10,Rest period started
101.0068089,20,Action period started
106.0068089,30,Rest period started
108.0069649,10,Rest period started
110.0069649,20,Action period started
115.0069649,30,Rest period started
117.0071391,10,Rest period started
119.0071391,20,Action period started
124.0071391,30,Rest period started
126.0072953,10,Rest period started
128.0072953,20,Action period started
133.0072953,30,Rest period started
135.0074645,10,Rest period started
137.0074645,20,Action period started
142.0074645,30,Rest period started
144.0076251,10,Rest period started
146.0076251,20,Action period started
151.0076251,30,Rest period started
153.0078001,10,Rest period started
155.0078001,20,Action period started
160.0078001,30,Rest period started
162.0079632,10,Rest period started
164.0079632,20,Action period started
169.0079632,30,Rest period started
171.0081132,10,Rest period started
173.0081132,20,Action period started
178.0081132,30,Rest period started
180.0082681,10,Rest period started
182.0082681,20,Action period started
187.0082681,30,Rest period started
189.0084327,10,Rest period started
191.0084327,20,Action period started
196.0084327,30,Rest period started
198.0085912,10,Rest period started
200.0085912,20,Action period started
205.0085912,30,Rest period started
207.0093628,10,Rest period started
209.0093628,20,Action period started
214.0093628,30,Rest period started
216.0095399,10,Rest period started
218.0095399,20,Action period started
223.0095399,30,Rest period started
225.0114106,10,Rest period started
227.0114106,20,Action period started
232.0114106,30,Rest period started
234.0123031,10,Rest period started
236.0123031,20,Action period started
241.0123031,30,Rest period started
243.0128657,10,Rest period started
245.0128657,20,Action period started
250.0128657,30,Rest period started
252.0130841,10,Rest period started
254.0130841,20,Action period started
259.0130841,30,Rest period started
261.0169997,10,Rest period started
263.0169997,20,Action period started
268.0169997,30,Rest period started
270.0190924,10,Rest period started
272.0190924,20,Action period started
277.0190924,30,Rest period started
279.0193659,10,Rest period started
281.0193659,20,Action period started
286.0193659,30,Rest period started
288.0217304,10,Rest period started
290.0217304,20,Action period started
295.0217304,30,Rest period started
297.022072,10,Rest period started
299.022072,20,Action period started
304.022072,30,Rest period started
306.0236205,10,Rest period started
308.0236205,20,Action period started
313.0236205,30,Rest period started
315.0236205,0,Experiment ended
