time,marker_id,description
0.0001867,10,Rest period started
2.0001867,20,Action period started
7.0001867,30,Rest period started
9.0003415,10,Rest period started
11.0003415,20,Action period started
16.0003415,30,Rest period started
18.0004991,10,Rest period started
20.0004991,20,Action period started
25.0004991,30,Rest period started
27.0006459,10,Rest period started
29.0006459,20,Action period started
34.0006459,30,Rest period started
36.0008061,10,Rest period started
38.0008061,20,Action period started
43.0008061,30,Rest period started
45.0009812,10,Rest period started
47.0009812,20,Action period started
52.0009812,30,Rest period started
54.001151,10,Rest period started
56.001151,20,Action period started
61.001151,30,Rest period started
63.0014691,10,Rest period started
65.0014691,20,Action period started
70.0014691,30,Rest period started
72.0016502,10,Rest period started
74.0016502,20,Action period started
79.0016502,30,Rest period started
81.001832,10,Rest period started
83.001832,20,Action period started
88.001832,30,Rest period started
90.0019999,10,Rest period started
92.0019999,20,Action period started
97.0019999,30,Rest period started
99.0021724,10,Rest period started
101.0021724,20,Action period started
106.0021724,30,Rest period started
108.002372,10,Rest period started
110.002372,20,Action period started
115.002372,30,Rest period started
117.0032656,10,Rest period started
119.0032656,20,Action period started
124.0032656,30,Rest period started
126.0034107,10,Rest period started
128.0034107,20,Action period started
133.0034107,30,Rest period started
135.0035671,10,Rest period started
137.0035671,20,Action period started
142.0035671,30,Rest period started
144.0050683,10,Rest period started
146.0050683,20,Action period started
151.0050683,30,Rest period started
153.0052566,10,Rest period started
155.0052566,20,Action period started
160.0052566,30,Rest period started
162.0056753,10,Rest period started
164.0056753,20,Action period started
169.0056753,30,Rest period started
171.0058205,10,Rest period started
173.0058205,20,Action period started
178.0058205,30,Rest period started
180.0060318,10,Rest period started
182.0060318,20,Action period started
187.0060318,30,Rest period started
189.0062097,10,Rest period started
191.0062097,20,Action period started
196.0062097,30,Rest period started
198.0063794,10,Rest period started
200.0063794,20,Action period started
205.0063794,30,Rest period started
207.006549,10,Rest period started
209.006549,20,Action period started
214.006549,30,Rest period started
216.0067157,10,Rest period started
218.0067157,20,Action period started
223.0067157,30,Rest period started
225.0070189,10,Rest period started
227.0070189,20,Action period started
232.0070189,30,Rest period started
234.0072308,10,Rest period started
236.0072308,20,Action period started
241.0072308,30,Rest period started
243.0074005,10,Rest period started
245.0074005,20,Action period started
250.0074005,30,Rest period started
252.0082584,10,Rest period started
254.0082584,20,Action period started
259.0082584,30,Rest period started
261.0084219,10,Rest period started
263.0084219,20,Action period started
268.0084219,30,Rest period started
270.0086078,10,Rest period started
272.0086078,20,Action period started
277.0086078,30,Rest period started
279.0091139,10,Rest period started
281.0091139,20,Action period started
286.0091139,30,Rest period started
288.009331,10,Rest period started
290.009331,20,Action period started
295.009331,30,Rest period started
297.0096157,10,Rest period started
299.0096157,20,Action period started
304.0096157,30,Rest period started
306.0097927,10,Rest period started
308.0097927,20,Action period started
313.0097927,30,Rest period started
315.0097927,0,Experiment ended
