time,marker_id,description
0.000773,10,Rest period started
2.000773,20,Action period started
7.000773,30,Rest period started
9.0010118,10,Rest period started
11.0010118,20,Action period started
16.0010118,30,Rest period started
18.0012357,10,Rest period started
20.0012357,20,Action period started
25.0012357,30,Rest period started
27.002036,10,Rest period started
29.002036,20,Action period started
34.002036,30,Rest period started
36.002287,10,Rest period started
38.002287,20,Action period started
43.002287,30,Rest period started
45.0025395,10,Rest period started
47.0025395,20,Action period started
52.0025395,30,Rest period started
54.0028326,10,Rest period started
56.0028326,20,Action period started
61.0028326,30,Rest period started
63.0030454,10,Rest period started
65.0030454,20,Action period started
70.0030454,30,Rest period started
72.0032833,10,Rest period started
74.0032833,20,Action period started
79.0032833,30,Rest period started
81.0035485,10,Rest period started
83.0035485,20,Action period started
88.0035485,30,Rest period started
90.0038295,10,Rest period started
92.0038295,20,Action period started
97.0038295,30,Rest period started
99.0040589,10,Rest period started
101.0040589,20,Action period started
106.0040589,30,Rest period started
108.0043182,10,Rest period started
110.0043182,20,Action period started
115.0043182,30,Rest period started
117.0045751,10,Rest period started
119.0045751,20,Action period started
124.0045751,30,Rest period started
126.0048867,10,Rest period started
128.0048867,20,Action period started
133.0048867,30,Rest period started
135.0051002,10,Rest period started
137.0051002,20,Action period started
142.0051002,30,Rest period started
144.0090211,10,Rest period started
146.0090211,20,Action period started
151.0090211,30,Rest period started
153.0093145,10,Rest period started
155.0093145,20,Action period started
160.0093145,30,Rest period started
162.0095666,10,Rest period started
164.0095666,20,Action period started
169.0095666,30,Rest period started
171.009901,10,Rest period started
173.009901,20,Action period started
178.009901,30,Rest period started
180.0101212,10,Rest period started
182.0101212,20,Action period started
187.0101212,30,Rest period started
189.0103901,10,Rest period started
191.0103901,20,Action period started
196.0103901,30,Rest period started
198.0107064,10,Rest period started
200.0107064,20,Action period started
205.0107064,30,Rest period started
207.0109425,10,Rest period started
209.0109425,20,Action period started
214.0109425,30,Rest period started
216.0111634,10,Rest period started
218.0111634,20,Action period started
223.0111634,30,Rest period started
225.0114062,10,Rest period started
227.0114062,20,Action period started
232.0114062,30,Rest period started
234.0116715,10,Rest period started
236.0116715,20,Action period started
241.0116715,30,Rest period started
243.0119063,10,Rest period started
245.0119063,20,Action period started
250.0119063,30,Rest period started
252.0121667,10,Rest period started
254.0121667,20,Action period started
259.0121667,30,Rest period started
261.0123871,10,Rest period started
263.0123871,20,Action period started
268.0123871,30,Rest period started
270.013112,10,Rest period started
272.013112,20,Action period started
277.013112,30,Rest period started
279.0133661,10,Rest period started
281.0133661,20,Action period started
286.0133661,30,Rest period started
288.0136427,10,Rest period started
290.0136427,20,Action period started
295.0136427,30,Rest period started
297.0138718,10,Rest period started
299.0138718,20,Action period started
304.0138718,30,Rest period started
306.0148274,10,Rest period started
308.0148274,20,Action period started
313.0148274,30,Rest period started
315.0148274,0,Experiment ended
