Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
88.000000,23222.456661,14483.103392,8068.823286,8171.238979,7577.442536,10572.933921,-12083.487163,-12395.808088,-3836.967508,-4793.689226,-4454.970891,25279.621813,18809.171773,22398.549008,14217.408206,-5031.042401,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163392,101.000000
90.000000,23244.786053,14498.749614,8070.142039,8175.664625,7576.324949,10571.928092,-12082.883666,-12391.650664,-3891.639875,-4840.493779,-4506.379903,25233.532516,18782.752011,22344.234269,14223.666695,-5080.707977,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163500,0.000000
92.000000,23286.002670,14534.467701,8102.485013,8215.204861,7613.138272,10609.635485,-12045.422142,-12355.351431,-3821.343639,-4788.078938,-4453.965062,25295.446848,18813.530363,22394.592749,14216.827061,-5029.522482,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163542,0.000000
94.000000,23217.002835,14465.132590,8052.662975,8160.957177,7563.025661,10559.232302,-12102.687311,-12415.231754,-3863.208456,-4816.264488,-4488.163231,25259.482891,18789.166962,22370.452865,14223.353770,-5053.327090,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,127.500000,72.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1771317477.163586,0.000000
96.000000,23270.803484,14523.336533,8097.165298,8208.097006,7608.734978,10606.618000,-12054.586357,-12366.884931,-3871.478602,-4819.550195,-4491.158365,25249.893993,18797.347700,22370.609328,14216.067101,-5056.188113,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163625,0.000000
98.000000,23235.934762,14481.695233,8069.762059,8182.839535,7583.924542,10581.829915,-12082.101355,-12396.098661,-3828.429142,-4792.392825,-4454.210932,25280.694697,18809.954084,22396.000909,14215.597715,-5019.106569,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163668,0.000000
100.000000,23227.061120,14483.058689,8063.861199,8184.851192,7580.728242,10586.166154,-12083.509515,-12395.986902,-3891.148137,-4842.460733,-4508.950354,25232.794909,18785.456572,22342.714351,14222.057369,-5062.915988,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163712,0.000000
102.000000,23268.568309,14515.379311,8092.717301,8214.444901,7611.551298,10612.630619,-12051.792389,-12362.124009,-3844.120067,-4798.137223,-4464.336272,25280.962918,18795.268988,22401.499438,14207.908715,-5021.565261,-0.006000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163750,0.000000
104.000000,23218.947437,14478.811858,8051.299519,8164.555808,7571.407565,10566.474267,-12102.374387,-12411.275495,-3865.980073,-4817.493834,-4488.051473,25260.153444,18778.862808,22376.443133,14222.794977,-5047.649747,-0.002000,-0.016000,1.010000,192.000000,127.500000,120.000000,127.500000,64.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1771317477.163780,0.000000
106.000000,23279.274795,14537.708704,8099.579287,8206.800605,7616.111054,10608.920230,-12055.011041,-12361.118181,-3854.580683,-4811.995305,-4481.994150,25267.440113,18797.705328,22362.517996,14227.868823,-5048.096782,-0.002000,-0.016000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771317477.163816,0.000000
