Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,851.959092,5879.224048,-6206.498290,-227.831331,-8294.955885,14140.339391,-6950.990194,-15349.389952,10848.508578,14745.803445,-5429.641060,17907.368291,17424.347094,14067.986794,3925.145140,1964.763041,0.282000,-0.224000,0.954000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460104,101.000000
212.000000,880.010531,5907.007266,-6168.120345,-194.862508,-8256.756754,14174.090525,-6911.651124,-15316.734054,10864.668890,14768.937501,-5398.818004,17933.251611,17452.353829,14094.004225,3930.956594,1961.320872,0.282000,-0.224000,0.954000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460166,0.000000
214.000000,843.711298,5872.674986,-6207.280601,-234.447448,-8302.644885,14124.335542,-6952.755982,-15352.832121,10853.761238,14758.432181,-5409.502138,17927.887193,17440.328591,14087.969254,3931.113056,1968.696948,0.282000,-0.224000,0.954000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460214,0.000000
216.000000,862.084432,5890.154051,-6180.793784,-209.927584,-8271.620664,14153.415162,-6923.586955,-15328.222850,10844.999354,14739.679067,-5429.708115,17912.442137,17413.528849,14068.545588,3928.117922,1960.315044,0.280000,-0.222000,0.952000,192.000000,4.000000,96.000000,124.500000,8.000000,14.500000,96.000000,0.000000,0.000000,0.000000,1773822647.460257,0.000000
218.000000,860.877438,5890.243458,-6186.985217,-212.252165,-8276.940379,14150.420028,-6929.599575,-15332.134406,10856.555206,14768.982204,-5393.006550,17940.918260,17449.604565,14098.295760,3938.109152,1968.674596,0.280000,-0.222000,0.952000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460307,0.000000
220.000000,844.560664,5871.333882,-6208.197022,-234.067468,-8298.129833,14128.828243,-6952.912444,-15353.569729,10844.217043,14737.354486,-5433.329097,17901.981521,17410.220791,14077.106306,3929.637841,1966.685291,0.280000,-0.222000,0.952000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460351,0.000000
222.000000,882.268057,5909.890641,-6166.756888,-195.868337,-8255.370945,14175.297520,-6910.466482,-15312.196650,10859.237416,14760.443838,-5404.472995,17924.377969,17445.245975,14095.635902,3937.103324,1968.339320,0.280000,-0.222000,0.952000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460375,0.000000
224.000000,848.874551,5879.671082,-6206.520642,-231.832293,-8295.872306,14132.471577,-6954.633529,-15348.495883,10859.058602,14757.538111,-5408.272792,17920.533469,17443.703704,14113.941981,3938.355021,1971.937951,0.280000,-0.222000,0.952000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460390,0.000000
226.000000,880.256400,5915.880908,-6172.523638,-201.076293,-8259.997756,14166.245063,-6922.782293,-15315.772929,10858.365698,14750.720829,-5421.281507,17908.977617,17427.543393,14078.425059,3937.595062,1969.412204,0.280000,-0.222000,0.950000,192.000000,4.000000,96.000000,124.500000,8.000000,14.500000,80.000000,0.000000,0.000000,0.000000,1773822647.460406,0.000000
228.000000,878.445909,5901.933420,-6178.312740,-202.439750,-8273.833486,14155.538578,-6927.207938,-15321.874955,10876.381204,14778.682861,-5382.769451,17945.053332,17467.173036,14108.890487,3938.109152,1969.345149,0.280000,-0.222000,0.950000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1773822647.460424,0.000000
