Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,15603.573990,14558.674640,2683.215163,-3532.402638,7347.510141,-9285.629903,618.293955,-17312.744834,13687.783621,11709.967161,-8715.481605,308.699943,21879.496798,13112.762643,-375.665769,3426.008335,0.002000,-0.016000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899414,101.000000
212.000000,15620.404854,14567.369469,2773.225638,-3434.054963,7363.066955,-9221.525099,707.231546,-17194.392347,13626.964525,11725.836900,-8664.206703,339.053612,21915.170183,13149.128932,-334.203283,3470.354196,0.002000,-0.016000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899469,0.000000
214.000000,15595.929694,14552.393800,2684.355102,-3520.109179,7335.507254,-9282.970045,624.530092,-17299.557304,13581.299911,11711.509432,-8659.714003,345.714431,21896.618235,13147.877234,-333.085696,3466.464992,0.002000,-0.016000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899510,0.000000
216.000000,15637.548642,14593.588065,2735.898225,-3463.425155,7369.951292,-9229.638783,676.520249,-17228.746978,13736.957459,11725.859252,-8731.016067,301.793254,21885.241197,13118.037655,-394.105958,3431.462161,0.008000,-0.020000,1.006000,192.000000,0.000000,32.000000,127.500000,48.000000,15.500000,56.000000,0.000000,0.000000,0.000000,1769523337.899550,0.000000
218.000000,15608.245505,14557.311184,2733.439533,-3462.821658,7347.465437,-9232.432751,675.134441,-17231.093911,13545.358306,11735.604612,-8613.825871,379.040882,21930.011741,13179.907284,-310.398675,3491.007208,0.008000,-0.020000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899588,0.000000
220.000000,15605.943275,14566.296585,2670.675834,-3529.295746,7348.828894,-9283.551190,613.354220,-17313.929476,13680.809877,11708.201374,-8727.976230,303.536690,21879.720316,13116.361274,-381.946609,3439.061754,0.008000,-0.020000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899626,0.000000
222.000000,15621.723607,14570.476362,2765.558990,-3431.260995,7367.134972,-9215.646591,703.007067,-17195.532286,13632.954792,11735.716371,-8664.027889,346.362632,21912.331511,13159.835417,-338.248949,3465.123888,0.008000,-0.020000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899639,0.000000
224.000000,15590.922903,14545.487111,2685.137413,-3520.891490,7335.730772,-9270.162495,621.020868,-17305.435813,13574.236759,11707.284952,-8664.072593,339.992385,21893.488990,13147.251385,-328.056553,3472.187039,0.008000,-0.020000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899651,0.000000
226.000000,15627.780930,14583.865056,2737.909882,-3471.360024,7374.667510,-9244.055658,671.848735,-17237.218289,13732.174186,11718.080845,-8736.402838,294.618344,21897.758174,13118.171766,-385.187612,3429.338745,0.004000,-0.024000,1.004000,192.000000,0.000000,16.000000,127.500000,32.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1769523337.899662,0.000000
228.000000,15597.583723,14550.404495,2733.975975,-3467.694338,7347.934824,-9237.439542,672.340473,-17234.223155,13536.328201,11724.026409,-8623.839453,369.161411,21913.985540,13177.940330,-296.205318,3482.826469,0.004000,-0.024000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899674,0.000000
230.000000,15602.724624,14570.766934,2672.575733,-3526.568833,7350.706440,-9271.816524,615.321173,-17308.945037,13680.496953,11711.509432,-8727.998582,306.889451,21869.974955,13127.447740,-385.634647,3436.781876,0.004000,-0.024000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899685,0.000000
232.000000,15619.890764,14575.885484,2765.246065,-3429.763428,7366.330310,-9215.579535,705.756331,-17188.759707,13633.334772,11740.164368,-8665.816029,350.564760,21914.454927,13155.342717,-338.785391,3465.257998,0.004000,-0.024000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899696,0.000000
234.000000,15591.079365,14556.551225,2680.577657,-3515.147092,7339.284699,-9272.285911,625.625327,-17292.717671,13573.230931,11717.767920,-8660.496314,353.269321,21891.879665,13147.005516,-327.721277,3470.801231,0.004000,-0.024000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899708,0.000000
236.000000,15628.876165,14595.979702,2733.081905,-3465.012129,7374.980435,-9235.964326,674.754462,-17228.098777,13734.096436,11731.894223,-8731.865434,311.784483,21888.705717,13118.529393,-388.898002,3438.614719,0.002000,-0.020000,1.004000,192.000000,0.000000,8.000000,127.500000,48.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1769523337.899719,0.000000
238.000000,15600.869429,14558.317013,2740.279167,-3462.352271,7355.892045,-9235.159664,678.889534,-17224.656609,13542.586689,11736.811607,-8616.373970,383.332417,21929.631761,13182.589493,-298.462844,3487.766205,0.002000,-0.020000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769523337.899730,0.000000
