time,marker_id,description
0.0002139,101,Trash data in the TRIM period
3.0002139,102,Trash data in the TRIM period
3.0008376,10,Rest period started
6.0008376,20,Action period started
9.0008376,30,Release period started
12.0011067,10,Rest period started
15.0011067,20,Action period started
18.0011067,30,Release period started
21.0013372,10,Rest period started
24.0013372,20,Action period started
27.0013372,30,Release period started
30.0016096,10,Rest period started
33.0016096,20,Action period started
36.0016096,30,Release period started
39.0018923,10,Rest period started
42.0018923,20,Action period started
45.0018923,30,Release period started
48.0022761,10,Rest period started
51.0022761,20,Action period started
54.0022761,30,Release period started
