time,marker_id,description
0.0001125,101,Trash data in the TRIM period
3.0001125,102,Trash data in the TRIM period
3.000613,10,Rest period started
5.000613,20,Action period started
9.000613,30,Release period started
11.0008307,10,Rest period started
13.0008307,20,Action period started
17.0008307,30,Release period started
19.001103,10,Rest period started
21.001103,20,Action period started
25.001103,30,Release period started
27.0013692,10,Rest period started
29.0013692,20,Action period started
33.0013692,30,Release period started
35.001596,10,Rest period started
37.001596,20,Action period started
41.001596,30,Release period started
43.0018844,10,Rest period started
45.0018844,20,Action period started
49.0018844,30,Release period started
51.0021362,10,Rest period started
53.0021362,20,Action period started
57.0021362,30,Release period started
59.0024054,10,Rest period started
61.0024054,20,Action period started
65.0024054,30,Release period started
67.0026343,10,Rest period started
69.0026343,20,Action period started
73.0026343,30,Release period started
75.0029533,10,Rest period started
77.0029533,20,Action period started
81.0029533,30,Release period started
83.003228,10,Rest period started
85.003228,20,Action period started
89.003228,30,Release period started
91.0035536,10,Rest period started
93.0035536,20,Action period started
97.0035536,30,Release period started
99.0038375,10,Rest period started
101.0038375,20,Action period started
105.0038375,30,Release period started
107.0040941,10,Rest period started
109.0040941,20,Action period started
113.0040941,30,Release period started
115.0043592,10,Rest period started
117.0043592,20,Action period started
121.0043592,30,Release period started
123.004654,10,Rest period started
125.004654,20,Action period started
129.004654,30,Release period started
131.0049008,10,Rest period started
133.0049008,20,Action period started
137.0049008,30,Release period started
139.0050963,10,Rest period started
141.0050963,20,Action period started
145.0050963,30,Release period started
147.0052882,10,Rest period started
149.0052882,20,Action period started
153.0052882,30,Release period started
155.0055582,10,Rest period started
157.0055582,20,Action period started
161.0055582,30,Release period started
163.0058737,10,Rest period started
165.0058737,20,Action period started
169.0058737,30,Release period started
171.0061262,10,Rest period started
173.0061262,20,Action period started
177.0061262,30,Release period started
179.0063696,10,Rest period started
181.0063696,20,Action period started
185.0063696,30,Release period started
187.0065885,10,Rest period started
189.0065885,20,Action period started
193.0065885,30,Release period started
195.0069003,10,Rest period started
197.0069003,20,Action period started
201.0069003,30,Release period started
203.0071222,10,Rest period started
205.0071222,20,Action period started
209.0071222,30,Release period started
211.0074141,10,Rest period started
213.0074141,20,Action period started
217.0074141,30,Release period started
219.0076156,10,Rest period started
221.0076156,20,Action period started
225.0076156,30,Release period started
227.0079202,10,Rest period started
229.0079202,20,Action period started
233.0079202,30,Release period started
235.008191,10,Rest period started
237.008191,20,Action period started
241.008191,30,Release period started
243.0084035,201,Trash data in the TRIM period
246.0084035,202,Trash data in the TRIM period
