time,marker_id,description
0.0001476,101,Trash data in the TRIM period
3.0001476,102,Trash data in the TRIM period
3.0005914,10,Rest period started
5.0005914,20,Action period started
9.0005914,30,Release period started
11.0008507,10,Rest period started
13.0008507,20,Action period started
17.0008507,30,Release period started
19.0010345,10,Rest period started
21.0010345,20,Action period started
25.0010345,30,Release period started
27.0012738,10,Rest period started
29.0012738,20,Action period started
33.0012738,30,Release period started
35.0015289,10,Rest period started
37.0015289,20,Action period started
41.0015289,30,Release period started
43.001742,10,Rest period started
45.001742,20,Action period started
49.001742,30,Release period started
51.0019848,10,Rest period started
53.0019848,20,Action period started
57.0019848,30,Release period started
59.0022837,10,Rest period started
61.0022837,20,Action period started
65.0022837,30,Release period started
67.0025327,10,Rest period started
69.0025327,20,Action period started
73.0025327,30,Release period started
75.0027395,10,Rest period started
77.0027395,20,Action period started
81.0027395,30,Release period started
83.0029959,10,Rest period started
85.0029959,20,Action period started
89.0029959,30,Release period started
91.0032496,10,Rest period started
93.0032496,20,Action period started
97.0032496,30,Release period started
99.0034604,10,Rest period started
101.0034604,20,Action period started
105.0034604,30,Release period started
107.0037166,10,Rest period started
109.0037166,20,Action period started
113.0037166,30,Release period started
115.0039316,10,Rest period started
117.0039316,20,Action period started
121.0039316,30,Release period started
123.0041687,10,Rest period started
125.0041687,20,Action period started
129.0041687,30,Release period started
131.0044873,10,Rest period started
133.0044873,20,Action period started
137.0044873,30,Release period started
139.0047106,10,Rest period started
141.0047106,20,Action period started
145.0047106,30,Release period started
147.0049462,10,Rest period started
149.0049462,20,Action period started
153.0049462,30,Release period started
155.0051843,10,Rest period started
157.0051843,20,Action period started
161.0051843,30,Release period started
163.0054578,10,Rest period started
165.0054578,20,Action period started
169.0054578,30,Release period started
171.0057588,10,Rest period started
173.0057588,20,Action period started
177.0057588,30,Release period started
179.0060261,10,Rest period started
181.0060261,20,Action period started
185.0060261,30,Release period started
187.0062917,10,Rest period started
189.0062917,20,Action period started
193.0062917,30,Release period started
195.0065244,10,Rest period started
197.0065244,20,Action period started
201.0065244,30,Release period started
203.0068934,10,Rest period started
205.0068934,20,Action period started
209.0068934,30,Release period started
211.0071595,10,Rest period started
213.0071595,20,Action period started
217.0071595,30,Release period started
219.007397,10,Rest period started
221.007397,20,Action period started
225.007397,30,Release period started
227.0077292,10,Rest period started
229.0077292,20,Action period started
233.0077292,30,Release period started
235.0080072,10,Rest period started
237.0080072,20,Action period started
241.0080072,30,Release period started
243.0082676,201,Trash data in the TRIM period
246.0082676,202,Trash data in the TRIM period
