time,marker_id,description
0.0001174,101,Trash data in the TRIM period
3.0001174,102,Trash data in the TRIM period
3.0005878,10,Rest period started
5.0005878,20,Action period started
9.0005878,30,Release period started
11.0008435,10,Rest period started
13.0008435,20,Action period started
17.0008435,30,Release period started
19.0010723,10,Rest period started
21.0010723,20,Action period started
25.0010723,30,Release period started
27.0013258,10,Rest period started
29.0013258,20,Action period started
33.0013258,30,Release period started
35.0016021,10,Rest period started
37.0016021,20,Action period started
41.0016021,30,Release period started
43.0018315,10,Rest period started
45.0018315,20,Action period started
49.0018315,30,Release period started
51.0020808,10,Rest period started
53.0020808,20,Action period started
57.0020808,30,Release period started
59.0023365,10,Rest period started
61.0023365,20,Action period started
65.0023365,30,Release period started
67.0025742,10,Rest period started
69.0025742,20,Action period started
73.0025742,30,Release period started
75.0029334,10,Rest period started
77.0029334,20,Action period started
81.0029334,30,Release period started
83.0031597,10,Rest period started
85.0031597,20,Action period started
89.0031597,30,Release period started
91.0034437,10,Rest period started
93.0034437,20,Action period started
97.0034437,30,Release period started
99.0036813,10,Rest period started
101.0036813,20,Action period started
105.0036813,30,Release period started
107.0038771,10,Rest period started
109.0038771,20,Action period started
113.0038771,30,Release period started
115.0041337,10,Rest period started
117.0041337,20,Action period started
121.0041337,30,Release period started
123.0044017,10,Rest period started
125.0044017,20,Action period started
129.0044017,30,Release period started
131.0046815,10,Rest period started
133.0046815,20,Action period started
137.0046815,30,Release period started
139.0050381,10,Rest period started
141.0050381,20,Action period started
145.0050381,30,Release period started
147.005235,10,Rest period started
149.005235,20,Action period started
153.005235,30,Release period started
155.0055774,10,Rest period started
157.0055774,20,Action period started
161.0055774,30,Release period started
163.0057934,10,Rest period started
165.0057934,20,Action period started
169.0057934,30,Release period started
171.0061273,10,Rest period started
173.0061273,20,Action period started
177.0061273,30,Release period started
179.0063781,10,Rest period started
181.0063781,20,Action period started
185.0063781,30,Release period started
187.0066083,10,Rest period started
189.0066083,20,Action period started
193.0066083,30,Release period started
195.0070179,10,Rest period started
197.0070179,20,Action period started
201.0070179,30,Release period started
203.0072639,10,Rest period started
205.0072639,20,Action period started
209.0072639,30,Release period started
211.0075047,10,Rest period started
213.0075047,20,Action period started
217.0075047,30,Release period started
219.0077655,10,Rest period started
221.0077655,20,Action period started
225.0077655,30,Release period started
227.0080454,10,Rest period started
229.0080454,20,Action period started
233.0080454,30,Release period started
235.0082744,10,Rest period started
237.0082744,20,Action period started
241.0082744,30,Release period started
243.0084381,201,Trash data in the TRIM period
246.0084381,202,Trash data in the TRIM period
