Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.000000,9154.603977,12360.313518,-1933.247081,-3918.909004,-2011.187614,-15765.422972,-4356.198532,-2030.320708,14658.966918,9815.790929,-14527.940992,7114.381446,14267.699631,-5668.737670,-11093.014311,4402.354884,0.006000,-0.008000,1.014000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.245803,101.000000
92.000000,9180.800221,12384.520457,-1906.894375,-3899.418282,-1988.031207,-15743.160634,-4334.897320,-2006.314934,14700.429404,9867.289349,-14490.390061,7154.234607,14299.506164,-5658.232350,-11047.304994,4410.021533,0.006000,-0.008000,1.014000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.245926,0.000000
94.000000,9140.567081,12344.287317,-1943.484180,-3940.523140,-2010.025324,-15778.096411,-4371.822402,-2047.330385,14678.345880,9840.489607,-14514.440538,7130.340592,14285.446916,-5670.726975,-11058.033831,4399.002123,0.004000,-0.008000,1.010000,192.000000,0.000000,16.000000,127.500000,96.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1769695217.245979,0.000000
96.000000,9181.470773,12385.056899,-1895.025598,-3900.044131,-1969.881591,-15733.124701,-4331.455151,-2005.309106,14682.548008,9843.082409,-14520.699027,7134.386257,14290.185486,-5680.606446,-11061.654813,4388.206230,0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246028,0.000000
98.000000,9156.883854,12360.045297,-1921.043029,-3920.607736,-1987.919448,-15744.099408,-4358.143134,-2033.114676,14706.374968,9872.474953,-14487.618445,7158.749659,14334.508995,-5637.467580,-11022.472205,4430.451027,0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246080,0.000000
100.000000,9170.540770,12378.507838,-1909.263660,-3903.128672,-1972.407338,-15729.235498,-4351.482314,-2023.771646,14696.696663,9838.254432,-14532.053713,7119.835272,14284.172867,-5665.898998,-11068.270930,4411.250879,0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246099,0.000000
102.000000,9192.959570,12400.144327,-1882.530973,-3865.041299,-1952.067250,-15684.241436,-4319.876947,-1993.999123,14720.501270,9895.541954,-14472.732183,7181.414328,14330.329219,-5616.166367,-11025.020304,4465.833839,0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246119,0.000000
104.000000,9146.266776,12351.663393,-1931.749515,-3911.108245,-2000.570536,-15727.201489,-4364.446326,-2045.542246,14678.524694,9854.973537,-14518.687370,7136.532025,14300.132012,-5653.829056,-11072.249540,4459.463592,0.003000,-0.010000,1.009000,192.000000,0.000000,8.000000,127.500000,80.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1769695217.246132,0.000000
106.000000,9198.368692,12403.765309,-1887.023674,-3869.109317,-1961.902018,-15681.179247,-4324.660221,-1999.520004,14695.489668,9862.930758,-14511.914791,7150.233644,14307.798661,-5649.716336,-11068.181523,4470.348891,0.003000,-0.010000,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246145,0.000000
108.000000,9175.413451,12376.250312,-1905.575622,-3898.255992,-1987.852393,-15710.169460,-4347.168427,-2022.587004,14725.463358,9886.064814,-14477.873084,7169.500848,14326.149443,-5615.339353,-11037.313764,4504.524708,0.003000,-0.010000,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1769695217.246181,0.000000
