time,marker_id,description
0.0004658,101,Trash data in the TRIM period
3.0004658,102,Trash data in the TRIM period
3.0010093,10,Rest period started
5.0010093,20,Action period started
9.0010093,30,Release period started
11.0012592,10,Rest period started
13.0012592,20,Action period started
17.0012592,30,Release period started
19.0015414,10,Rest period started
21.0015414,20,Action period started
25.0015414,30,Release period started
27.0017972,10,Rest period started
29.0017972,20,Action period started
33.0017972,30,Release period started
35.0020552,10,Rest period started
37.0020552,20,Action period started
41.0020552,30,Release period started
43.0023216,10,Rest period started
45.0023216,20,Action period started
49.0023216,30,Release period started
51.0025783,10,Rest period started
53.0025783,20,Action period started
57.0025783,30,Release period started
59.002852,10,Rest period started
61.002852,20,Action period started
65.002852,30,Release period started
67.0031119,10,Rest period started
69.0031119,20,Action period started
73.0031119,30,Release period started
75.003455,10,Rest period started
77.003455,20,Action period started
81.003455,30,Release period started
83.003706,10,Rest period started
85.003706,20,Action period started
89.003706,30,Release period started
91.0039642,10,Rest period started
93.0039642,20,Action period started
97.0039642,30,Release period started
99.004218,10,Rest period started
101.004218,20,Action period started
105.004218,30,Release period started
107.0045288,10,Rest period started
109.0045288,20,Action period started
113.0045288,30,Release period started
115.0048039,10,Rest period started
117.0048039,20,Action period started
121.0048039,30,Release period started
123.0050594,10,Rest period started
125.0050594,20,Action period started
129.0050594,30,Release period started
131.0053165,10,Rest period started
133.0053165,20,Action period started
137.0053165,30,Release period started
139.0056426,10,Rest period started
141.0056426,20,Action period started
145.0056426,30,Release period started
147.0059538,10,Rest period started
149.0059538,20,Action period started
153.0059538,30,Release period started
155.0062137,10,Rest period started
157.0062137,20,Action period started
161.0062137,30,Release period started
163.0064573,10,Rest period started
165.0064573,20,Action period started
169.0064573,30,Release period started
171.0067036,10,Rest period started
173.0067036,20,Action period started
177.0067036,30,Release period started
179.0069678,10,Rest period started
181.0069678,20,Action period started
185.0069678,30,Release period started
187.0074665,10,Rest period started
189.0074665,20,Action period started
193.0074665,30,Release period started
195.0078141,10,Rest period started
197.0078141,20,Action period started
201.0078141,30,Release period started
203.0092302,10,Rest period started
205.0092302,20,Action period started
209.0092302,30,Release period started
211.0095382,10,Rest period started
213.0095382,20,Action period started
217.0095382,30,Release period started
219.009787,10,Rest period started
221.009787,20,Action period started
225.009787,30,Release period started
227.0109419,10,Rest period started
229.0109419,20,Action period started
233.0109419,30,Release period started
235.0112346,10,Rest period started
237.0112346,20,Action period started
241.0112346,30,Release period started
243.0114082,201,Trash data in the TRIM period
246.0114082,202,Trash data in the TRIM period
