Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used.1,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.0,19548.433369,10182.672463,5734.965889,5461.447592,4726.499883,6415.464749,-15854.427618,-18140.005248,-7887.774156,-7203.877831,5613.12653,19793.028509,7310.383893,18086.316357,6640.792685,-3012.143435,0.006,-0.002,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920398,101.0
92.0,19813.659169,10443.316155,5999.744654,5726.181653,4984.886048,6684.780918,-15589.291226,-17876.165256,-7964.686509,-7287.495707,5528.189901,19708.136583,7229.604689,17996.261179,6551.9445,-3096.208345,0.006,-0.002,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92045,0.0
94.0,19696.312511,10323.846081,5878.128812,5605.236364,4863.739593,6561.04166,-15713.298704,-17998.630464,-7726.707486,-7053.942329,5764.783116,19942.204051,7463.493343,18237.41415,6778.501782,-2860.084517,0.002,-0.004,1.016,192.0,0.0,8.0,127.5,112.0,15.5,96.0,0.0,0.0,0.0,1771318166.920492,0.0
96.0,19618.819013,10255.270929,5796.857869,5518.891575,4785.553191,6480.620084,-15794.882571,-18080.504904,-8028.679553,-7351.08642,5460.486467,19640.768426,7162.683566,17941.074722,6490.231334,-3167.041024,0.002,-0.004,1.016,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920538,0.0
98.0,19835.116844,10470.629987,6028.064314,5750.120372,5018.815997,6704.204584,-15565.464266,-17854.886395,-7757.6423,-7087.916981,5727.969793,19903.11085,7423.930755,18198.879742,6742.157846,-2903.312791,0.002,-0.004,1.016,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920574,0.0
100.0,19547.919279,10176.861009,5737.67045,5462.162848,4738.033383,6420.449188,-15855.545206,-18145.101445,-7886.120127,-7208.571697,5602.643562,19780.757401,7307.701684,18071.519503,6636.255281,-3020.257118,0.002,-0.004,1.016,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920613,0.0
102.0,19802.975035,10428.094617,5990.625142,5715.855147,4988.328217,6687.396072,-15598.857772,-17887.586997,-7969.670948,-7288.702701,5524.45716,19700.671101,7230.074075,18002.474964,6555.498428,-3093.749654,0.002,-0.004,1.016,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92063,0.0
104.0,19699.620569,10333.770255,5883.940266,5616.367533,4885.21962,6585.494469,-15706.034387,-17993.623673,-7739.112704,-7052.333004,5759.508104,19937.06315,7456.854875,18246.64542,6783.396814,-2857.312901,-0.002,-0.006,1.017,192.0,127.5,104.0,127.5,96.0,15.5,104.0,0.0,0.0,0.0,1771318166.920642,0.0
106.0,19594.321501,10241.144626,5793.549811,5525.194767,4791.007017,6490.253686,-15795.977807,-18084.818791,-8027.025524,-7341.318708,5466.588493,19646.781045,7164.650519,17945.567423,6502.949477,-3148.802,-0.002,-0.006,1.017,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920654,0.0
108.0,19833.596925,10474.966225,6026.723209,5754.143686,5019.37479,6719.314363,-15563.363202,-17851.913613,-7777.065966,-7098.623466,5716.682162,19893.812525,7412.598421,18199.818516,6734.446494,-2899.088311,-0.002,-0.006,1.017,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920666,0.0
110.0,19538.822119,10171.787163,5726.315764,5462.609883,4722.856548,6416.314115,-15859.300299,-18148.253041,-7879.88399,-7199.139261,5610.086693,19794.570779,7309.132196,18092.776012,6643.094914,-3002.398074,-0.002,-0.006,1.017,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920676,0.0
112.0,19804.584361,10439.583414,5992.614447,5722.583022,4976.682958,6683.082185,-15594.566237,-17881.73084,-7979.013977,-7301.532602,5512.990715,19691.618644,7207.208241,17991.053223,6536.5665,-3101.349247,-0.002,-0.006,1.017,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920706,0.0
114.0,19695.261979,10333.479683,5878.307626,5608.38796,4864.410146,6568.417736,-15713.186945,-17997.624635,-7725.634602,-7046.298033,5767.308863,19946.719104,7456.139619,18245.036095,6781.027529,-2857.55877,-0.002,-0.007,1.0155,192.0,127.5,120.0,127.5,96.0,15.5,88.0,0.0,0.0,0.0,1771318166.920717,0.0
116.0,19601.719928,10239.088266,5782.329235,5511.694313,4769.057604,6471.098241,-15808.763004,-18095.681738,-8033.619289,-7346.549016,5460.151191,19646.177548,7157.766182,17936.447911,6487.973808,-3164.470573,-0.002,-0.007,1.0155,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920727,0.0
